#{"t_start": 1670683746.1456249, "env_id": null}
r,l,t,num_scen
2.1480038,5,4.285144,420
2.106338,6,9.436467,945
1.8874866,4,11.125955,168
1.8856889,6,15.139375,864
1.8258413,6,20.074751,900
1.8960421,4,21.68628,120
1.836976,6,27.044053,1152
2.1732154,4,28.363606,105
2.0704153,5,33.301699,840
1.8611243,5,38.183643,1029
2.2071607,6,43.634558,945
1.8846898,6,48.965631,1080
2.0844107,6,54.374017,1134
1.8528299,4,56.195421,126
2.1780055,4,58.701951,210
1.8614218,5,63.278741,560
1.949357,4,65.025846,126
2.1705008,4,67.236975,140
1.7811748,4,68.861496,120
2.203547,5,71.303198,270
2.1505985,4,74.145539,294
1.8733984,4,76.067054,105
1.7999072,6,80.546992,960
2.0946975,6,86.638221,1080
1.8483644,6,91.446805,1080
1.8394047,6,96.873641,972
2.0919561,5,102.616499,882
2.1268306,5,105.164706,504
2.0733428,5,111.015443,1176
1.814702,5,114.753826,900
1.8359673,5,118.423787,560
1.8952335,4,121.314073,245
2.10531,5,124.447301,700
1.9326481,5,127.964815,420
2.1033149,6,135.045473,1080
2.0978725,6,140.864481,972
1.8660686,5,148.304792,1008
2.2088473,4,150.429566,140
1.9024343,4,152.519532,245
1.8573669,6,156.402704,720
1.9156067,4,158.348244,105
2.1883938,4,160.935693,126
1.8350707,6,165.721951,1080
2.1044443,5,169.209081,720
1.9050611,4,171.344897,168
2.2106707,6,176.603805,1152
2.1784756,4,179.335733,147
1.8999276,5,181.941274,420
1.8902122,5,185.646689,784
1.815391,6,190.416888,1008
1.7915015,6,195.80557,1080
1.8608918,5,198.308765,400
2.1582353,4,200.213498,245
2.1673913,5,202.068288,180
2.105605,6,206.963153,1008
1.9401959,5,211.205819,448
1.9261384,5,215.761747,480
2.193499,4,217.666473,120
2.104921,5,221.59063,756
1.8189996,6,225.934651,1125
1.9234866,4,227.346812,105
2.0300324,4,228.932621,112
2.0834582,6,233.591583,1080
1.9474417,5,237.399803,504
2.1905658,4,239.887891,126
2.130445,5,242.429754,480
1.8816661,4,244.376734,150
2.1790233,4,245.906536,140
2.1727986,4,247.455616,105
