#{"t_start": 1670510597.4666276, "env_id": null}
r,l,t,num_scen
1.9270366,5,2.843944,420
1.7858976,6,7.516139,945
2.1926088,4,9.281885,168
2.158997,6,12.954011,864
1.9020209,6,17.33086,900
1.9106866,4,18.909107,120
2.1533983,6,24.034444,1152
1.935025,4,25.456418,105
1.900293,5,29.300429,840
1.8857484,5,33.660101,1029
1.8847177,6,37.941645,945
2.1296008,6,42.770107,1080
1.8762394,6,49.676821,1134
2.1661987,4,51.333186,126
2.2184386,4,54.208394,210
2.1484637,5,58.364915,560
1.8919828,4,59.99003,126
2.202822,4,62.351036,140
1.9394906,4,63.804261,120
2.164477,5,66.070041,270
1.9292029,4,68.835854,294
1.9979815,4,70.585974,105
2.1501086,6,74.726888,960
2.1382759,6,79.649093,1080
4.6316886,6,84.305662,1080
1.9845425,6,88.5247,972
1.855036,5,91.774934,882
1.8616334,5,94.697011,504
1.8560028,5,99.791095,1176
1.9929284,5,104.307029,900
1.9146742,5,107.604129,560
1.9313706,4,109.104232,245
1.8979925,5,112.401333,700
1.9668499,5,115.229651,420
1.9370987,6,120.589393,1080
1.9372308,6,124.745929,972
1.89961,5,129.339996,1008
1.9031483,4,130.824468,140
1.90729,4,132.949611,245
2.0631683,6,136.57486,720
2.1846206,4,138.264355,105
2.1451366,4,140.405121,126
2.2962677,6,144.655411,1080
2.1306553,5,148.390055,720
1.9386714,4,150.015152,168
2.261159,6,155.187382,1152
2.20189,4,157.750057,147
1.9232196,5,160.35961,420
2.1351223,5,164.953673,784
2.1927123,6,168.766434,1008
2.1347356,6,172.89324,1080
1.9170145,5,175.612177,400
1.7468697,4,177.221661,245
1.9087602,5,178.89365,180
2.1511147,6,183.362706,1008
2.1365833,5,186.019138,448
2.1817005,5,188.597439,480
2.184792,4,190.019424,120
1.8527806,5,193.691538,756
2.2303815,6,197.832446,1125
1.7868432,4,199.160668,105
1.915719,4,200.426372,112
1.8573316,6,204.504777,1080
1.8996994,5,208.473805,504
2.177733,4,210.286422,126
1.8397431,5,212.958481,480
2.1833808,4,215.005505,150
1.8451878,4,216.411842,140
2.1943886,4,217.724433,105
2.1431894,5,223.13105,1008
1.929013,4,224.553035,126
2.1980162,4,226.178147,105
1.8956378,4,228.022011,112
2.2014437,4,230.475304,175
1.9231076,6,235.897548,945
1.9198953,4,238.694613,294
2.1826208,4,240.27286,126
1.9371747,6,244.757528,1008
2.1815739,4,247.492104,252
2.2011993,4,249.08595,150
2.1355667,5,252.023652,700
2.162809,5,255.148865,336
2.1777484,4,256.930235,105
1.8723487,4,258.164695,112
1.9560812,6,262.416543,945
2.128452,5,267.838788,1008
2.1782558,4,270.620228,252
1.967405,6,277.120673,1134
2.1474001,5,280.355269,500
2.2319262,4,281.996013,120
2.1173227,6,285.886897,1008
1.8939285,5,290.355954,735
1.8803596,6,297.403309,1134
2.1841652,4,299.137802,105
1.875238,4,300.684785,120
1.8738668,6,305.185091,900
1.8310347,5,307.982157,525
2.1823256,6,312.373082,1008
2.1665418,6,316.04521,810
2.4588714,6,321.70375,972
1.893985,4,323.578879,126
1.8809526,6,327.438517,945
1.8473332,5,331.157521,630
1.9247097,6,335.267179,960
1.8495803,6,339.548776,945
1.92814,4,341.753396,147
2.159105,6,345.01925,720
2.122657,4,347.081884,140
1.8946943,6,352.58226,1080
1.89012,4,354.504267,175
2.167882,6,358.192036,960
2.0747294,4,360.785946,147
1.8568034,5,363.942425,720
2.1306913,5,367.631396,630
2.1371095,6,372.50672,945
1.8887933,5,376.663254,1080
1.8957288,4,378.10086,105
1.8792324,5,382.054248,560
2.2176344,5,384.054586,135
2.1836345,6,388.27487,756
1.8632723,5,393.337702,900
2.1490476,6,398.400548,972
1.908735,6,403.150874,972
2.1456091,5,406.541744,600
1.899563,5,409.229416,450
1.8788329,6,413.401574,1008
2.1449165,6,417.683119,960
2.1991868,6,422.902225,1008
2.2898755,6,427.136888,756
1.8584042,6,431.169724,1008
1.9513378,4,433.404255,175
1.9026663,5,439.264029,1050
1.8813586,5,441.264165,300
1.9044129,5,445.09256,980
2.1340587,5,448.202139,840
2.1644814,5,451.452363,378
2.1847777,5,455.280748,720
1.870128,5,459.390405,756
1.8711194,6,463.953216,1134
1.86891,5,469.125445,735
1.9318436,5,470.844313,135
2.1354494,6,475.625889,1134
1.9242544,4,476.969731,120
1.8999997,5,480.532477,756
1.9291279,4,482.641996,140
2.1827064,4,484.48587,252
1.7572371,6,489.345579,1080
2.128397,5,493.845886,784
1.8862219,6,497.486759,864
1.8754741,5,500.488638,576
2.1356978,6,504.395154,945
2.1553419,6,509.629884,1080
1.8822235,6,513.348879,810
1.9440491,5,515.77092,270
1.9133427,4,517.286648,126
1.9042789,5,523.787106,882
2.1661825,5,526.38102,450
2.2051306,4,528.334278,105
1.9414928,5,531.100092,630
2.759375,6,534.365948,720
2.1345336,6,539.663178,945
2.1602206,5,541.710193,216
2.205075,4,543.319685,120
1.9367608,4,545.851102,147
1.8784846,5,548.382525,450
2.1285796,4,549.679487,120
2.122247,5,556.570584,1050
2.177301,5,558.633233,324
1.8844163,6,563.166122,945
2.2068172,4,564.916241,112
2.1505308,6,569.197784,1080
1.8865938,5,573.073057,735
1.8647729,6,578.198402,1152
1.8819323,5,581.339246,576
2.1532822,4,583.495654,105
1.8650022,4,584.995738,168
1.8746707,6,589.417929,756
2.138032,5,592.886903,720
1.9323372,4,595.059182,210
1.8528634,5,599.21737,1176
1.9976588,6,605.217787,945
2.178982,5,607.577316,216
1.8782203,6,611.030678,675
1.8627927,6,615.530985,945
1.8876805,6,620.765724,1080
2.1202407,5,624.062826,1008
2.2172692,4,625.531683,120
1.8838764,5,630.438254,1176
2.1309586,6,635.454224,1125
2.1381207,5,639.831048,840
2.1969311,5,642.190583,288
1.8727949,5,646.347131,840
1.9339819,4,647.706594,120
1.9385875,5,650.738043,378
2.1865146,4,653.347597,210
2.2111135,4,654.847699,105
2.1925101,5,657.722897,360
1.9262685,4,660.20744,126
1.9292784,6,664.942142,1008
1.9765412,6,671.223819,1134
1.9162247,5,673.364603,216
1.8832086,6,678.257115,960
1.9959679,5,680.413514,270
1.931279,5,684.741933,525
2.1676073,5,687.257731,378
2.1291163,5,690.304821,700
1.9016116,4,692.289325,168
2.1162472,5,694.445722,240
2.208867,4,695.72706,112
1.9256067,5,699.336683,630
1.9428979,4,701.899364,126
1.8946937,6,708.102906,1080
1.9314554,4,710.009286,105
2.1609755,5,712.978246,600
1.9312937,5,716.697245,504
2.1947558,5,719.025536,360
1.8641015,6,722.994554,1008
2.398284,6,726.479162,720
1.9046433,5,730.526317,672
2.1639903,4,732.229555,180
2.135753,6,737.683054,1134
1.9037322,4,739.542563,108
1.8910283,4,741.339561,168
2.1413858,6,746.199261,1080
2.194817,4,747.793126,108
2.1432567,5,751.246482,672
2.124527,5,754.90298,882
2.1701913,4,756.559347,168
1.9156672,4,759.247028,245
1.865093,5,764.466134,1176
1.891269,5,769.216459,1176
2.1979322,4,771.310353,175
1.8892331,4,772.76359,140
1.8540277,4,774.154306,120
1.8915703,4,777.281156,175
2.1242096,6,782.453379,1080
1.8849123,5,787.641221,1080
1.9091569,5,792.016522,504
1.7519015,6,797.32939,1134
2.1456416,5,799.923311,400
1.9670303,6,803.876705,945
1.9337239,6,808.189502,1080
2.139389,5,812.096031,630
1.9893385,6,815.815035,756
1.9958831,6,820.050702,945
2.1404557,6,824.582267,810
1.8966631,4,826.097983,140
1.8915167,6,829.410717,675
2.1394503,6,834.379799,945
1.7653368,4,835.911347,120
2.226868,4,837.598776,120
2.1442728,6,843.317923,1008
1.9510386,4,844.989901,105
1.9331801,4,847.771358,112
1.8768998,5,849.849607,216
1.8598548,4,851.802866,147
1.8924145,5,854.224907,420
1.9154414,6,857.664243,405
2.4196863,5,861.398883,540
1.9024339,6,866.899249,1080
2.1973927,4,868.3681,108
2.2575247,6,873.430946,1008
2.189226,4,875.431082,294
1.9051454,4,877.917436,168
2.1972466,5,881.32392,432
2.1959777,4,883.433447,108
1.9801267,6,887.638234,1080
1.9154449,4,889.075832,108
2.1985416,4,890.763447,120
2.162525,5,893.122983,270
1.9283229,4,894.998127,105
1.8896829,4,897.218542,210
2.1280656,6,902.70329,1152
2.158309,5,904.765931,240
1.8647784,4,906.406676,210
2.1549604,6,910.266308,810
2.182407,5,912.205684,288
1.8900223,5,916.97163,630
1.8776361,6,922.315747,1008
2.2018707,6,928.5818,1134
2.1773825,4,930.191284,126
2.0703804,4,932.316437,210
1.8747549,6,937.754724,945
1.8651673,6,941.645615,1008
2.1174242,6,946.099045,864
1.8917103,6,951.958827,945
2.0989661,6,956.521633,1125
1.8884581,5,960.162506,1029
2.3021429,4,961.584479,140
2.196071,4,963.115832,105
2.1169677,5,965.803517,720
1.7703389,6,970.506963,1134
1.8997924,4,972.210205,180
2.2338681,5,974.257221,432
1.8361533,6,978.476266,972
2.1213536,6,983.32034,1080
1.8575301,6,987.383118,1008
2.2560968,5,989.539528,288
1.9015849,6,993.992943,945
2.639827,6,998.196356,900
2.2066183,4,1000.102755,175
2.156463,5,1004.634305,700
2.1269867,5,1007.806406,840
2.1368706,6,1011.947298,1080
2.12257,5,1017.650819,1176
1.8995225,6,1023.713726,1008
1.9307257,5,1025.604479,300
1.8809565,4,1027.182715,120
1.9660285,5,1029.464136,252
1.8743839,5,1034.292582,735
1.8783054,6,1038.669552,900
2.1969347,4,1040.357169,126
1.9845505,4,1042.154172,168
1.8730124,5,1045.076254,504
1.9662712,6,1049.060888,1008
2.1247735,5,1052.326744,840
1.8438345,6,1058.530285,1134
2.2028055,4,1059.921005,147
1.9111466,4,1061.405494,120
2.1787453,4,1063.468123,294
2.1902668,4,1065.905789,180
2.1797101,6,1070.187334,900
1.9148144,5,1072.609373,360
1.8934063,5,1076.531752,735
2.1926773,4,1078.625422,105
2.1571007,6,1082.594432,900
2.1584744,4,1084.047668,120
2.159294,6,1088.688596,1008
1.9249672,5,1092.782634,630
1.8717594,6,1098.517394,1134
1.8690513,6,1102.611424,810
1.9043496,5,1106.971097,1050
1.8420935,5,1110.252571,980
1.8868806,4,1112.332343,140
2.1611006,5,1114.582483,324
1.9060607,4,1116.613886,126
2.061853,6,1121.75485,1134
6.9156694,6,1125.927011,1134
2.1455073,5,1127.942773,192
2.1469731,5,1130.646095,360
2.164511,6,1135.568293,1008
1.985864,6,1139.412309,1152
2.160765,6,1143.725101,945
1.9333388,5,1146.459663,270
1.911775,5,1148.256663,180
1.8628627,6,1155.397775,1134
2.145177,5,1158.444858,504
1.9280863,5,1161.148168,360
2.1739938,4,1162.882668,210
1.854218,4,1164.163999,112
2.2200556,4,1166.164135,168
1.8695179,5,1168.539311,360
1.9247528,4,1171.023844,294
1.940693,6,1176.211697,945
1.9094242,4,1177.711807,120
1.8910426,6,1181.805829,1008
2.1427944,5,1185.415451,900
2.1407847,6,1188.978195,900
1.9034842,4,1190.462673,120
1.9203877,4,1192.494072,112
2.1563876,5,1194.587954,336
2.1348581,6,1199.808377,1080
1.9139282,5,1203.074237,600
2.1440537,6,1207.605784,972
1.957647,4,1209.012131,105
2.1361372,5,1214.106228,882
1.7997702,6,1219.420799,1134
1.8659875,4,1220.874017,126
2.1543286,5,1223.702342,540
1.864449,6,1227.499462,720
1.964163,4,1229.015191,196
2.1827867,4,1230.405911,120
1.96586,5,1232.765461,450
2.168841,6,1236.093803,648
1.805666,5,1238.890886,756
1.7772294,6,1243.453678,1134
1.8725501,6,1247.797726,945
2.166828,5,1249.469728,192
1.9205545,4,1252.673058,294
2.1850073,4,1255.376388,294
1.8930814,6,1259.079749,756
1.8370811,5,1261.595558,504
2.0312672,5,1264.439489,270
2.1600428,6,1269.736726,1125
1.7519104,6,1274.893328,1134
1.8653072,6,1280.909364,1134
2.1452188,6,1285.26904,1080
1.9064767,4,1287.847338,126
1.8137572,4,1289.956858,105
1.9528475,4,1292.785177,126
2.1384451,5,1298.113666,882
